CRIM,INDUS,CHAS,NOX,RM,AGE,MEDV-result
0.137136,5.528,0,0.3584,4.5456,27.04,1
0.169288,6.848,0,0.416,4.9096,69.92,1
0.115808,8.008,0,0.4376,4.5848,52.16,1
0.300624,8.472,0.8,0.3912,4.3232,70.88,1
0.175816,5.528,0,0.3584,4.4816,49.6,1
0.035032,2.696,0,0.3184,4.6296,24.88,1
0.210904,6.848,0,0.416,4.9832,72.96,1
1.719344,15.664,0,0.6968,4.5672,78.8,1
0.106096,6.848,0,0.416,4.6808,77.36,1
0.13696,6.848,0,0.416,4.6688,73.52,1
0.681632,6.512,0,0.4304,4.772,71.36,1
0.082624,4.104,0,0.3624,4.7416,37.76,1
0.954352,17.512,0,0.4992,5.0608,78.16,1
1.197056,15.664,0,0.6968,4.3232,80,1
0.070984,4.512,0,0.3512,4.7704,36.56,1
0.102416,6.848,0,0.416,5.1792,77.68,1
0.501912,6.512,0,0.4304,4.6672,45.2,1
0.077952,4.768,0,0.3992,4.6728,49.12,1
0.150688,5.528,0,0.3584,4.6288,26.64,1
0.081224,10.264,0,0.3496,5.0232,59.6,1
0.348568,8.472,0.8,0.3912,4.2752,80,1
0.11168,6.848,0,0.416,4.9336,72,1
0.084896,3.944,0,0.3424,4.876,52.08,1
0.01572,1.408,0,0.308,4.984,25.2,1
0.642168,6.512,0,0.4304,4.3648,29.28,1
0.067096,10.264,0,0.3496,4.6992,29.28,1
0.05732,20.52,0,0.4648,4.8032,67.28,1
0.112824,11.136,0,0.3496,4.632,46.4,1
0.503808,6.512,0,0.4304,4.7592,49.44,1
0.104936,6.848,0,0.416,4.9016,68.16,1
0.104464,8.008,0,0.4376,4.6976,58.48,1
0.034696,4.512,0,0.3512,4.892,50.4,1
0.074392,20.52,0,0.4648,4.7688,74.32,1
0.157256,4.688,0,0.3448,4.9808,63.36,1
0.034352,12.032,0,0.3712,4.9992,61.84,1
0.07252,5.568,0.8,0.3712,4.736,49.2,1
0.069656,10.264,0,0.3496,4.912,36.64,1
0.102528,4.856,0,0.3272,4.708,26.4,1
0.028384,2.912,0,0.3136,4.7008,15.28,1
0.80196,6.512,0,0.4304,5.3392,69.84,1
0.064112,4.768,0,0.3992,4.68,33.2,1
0.239328,5.568,0,0.3712,4.6848,33.68,1
0.098152,5.528,0,0.3584,4.8552,32,1
0.045168,10.264,0,0.3496,4.9856,42.96,1
0.105264,8.008,0,0.4376,4.9408,58,1
0.076096,10.264,0,0.3496,5.0288,36,1
0.092032,2.312,0,0.356,0,55.68,1
0.135216,20.52,0,0.4648,4.7888,70.72,1
1.32528,15.664,0,0.6968,4.8976,77.84,1
0.088552,11.112,0.8,0.44,4.7608,75.04,1
0.021848,5.656,0,0.3752,5.1368,63.12,1
0.075024,6.296,0,0.4192,4.7112,31.2,1
0.127008,8.648,0,0.3304,4.7688,14,1
0.086344,6.848,0,0.416,4.956,43.52,1
0.139568,8.472,0.8,0.3912,4.768,73.68,1
0.326168,4.96,0.8,0.4056,4.9312,73.04,1
0.065592,11.136,0,0.3496,4.8072,33.84,1
0.038552,2.912,0,0.3136,4.8864,25.6,1
0.046312,4.856,0,0.3272,4.7024,17.12,1
0.031456,2.728,0,0.3912,5.124,59.12,1
0.055192,20.52,0,0.4648,4.696,55.76,1
0.090632,3.944,0,0.3424,5.5176,43.44,1
0.008768,1.8,0,0.3112,5.1624,25.52,1
0.088216,4.104,0,0.3624,5.1648,54.24,1
0.057208,3.592,0,0.3592,4.8968,45.44,1
0.08232,3.944,0,0.3424,5.0864,42.32,1
1.959624,15.664,0,0.484,5.1216,76.16,1
0.03672,4.256,0,0.324,5.052,36.48,1
0.173752,8.472,0.8,0.3912,4.6456,43.04,1
0.041504,3.592,0,0.3592,4.812,36.08,1
0.201592,8.472,0,0.3912,4.6264,58.16,1
0.051728,1.792,0,0.32,5.076,16.08,1
0.037472,2.728,0,0.3912,5.1336,52.88,1
0.067576,3.24,0,0.408,4.6872,54.96,1
0.109136,8.472,0,0.3912,4.7128,17.84,1
1.793888,15.664,0,0.484,4.6832,73.44,1
0.073312,8.648,0,0.3304,4.852,6.24,1
0.080672,8.008,0,0.4376,5.372,65.28,1
0.609296,3.176,0,0.5176,4.448,50.24,1
0.070632,6.296,0,0.4192,4.8096,53.28,1
0.028408,3.888,0,0.3408,4.9336,37.36,1
0.033624,12.032,0,0.3712,5.1536,42.88,1
0.47204,17.512,0,0.4992,5.0976,78.32,1
0.0914,11.112,0.8,0.44,5.0984,73.92,1
0.843144,6.512,0,0.4304,4.748,23.44,1
0.111312,3.24,0,0.408,4.4576,70.8,1
0.056176,3.24,0,0.408,4.816,37.76,1
0.030968,4.256,0,0.324,4.9672,25.04,1
0.12356,4.104,0,0.3624,4.916,23.36,1
1.140016,15.664,0,0.6968,5.208,80,1
0.03648,11.112,0.8,0.44,4.7104,44.8,1
0.074016,3.944,0,0.3424,5.2848,33.76,1
0.039848,4.512,0,0.3512,4.7984,17.12,1
0.156312,8.648,0,0.3304,4.996,4.96,1
0.028672,2.696,0,0.3184,5.032,14.24,1
0.04528,2.728,0,0.3912,5.6056,69.04,1
0.073424,3.24,0,0.408,5.1328,67.28,1
0.23164,8.472,0,0.3912,4.3296,7.84,1
0.065952,3.944,0,0.3424,5.1848,14.8,1
0.102056,3.944,0,0.3424,5.1144,6.24,1
1.440224,15.664,0,0.484,4.7016,63.36,1
1.84032,15.664,0,0.484,5.0552,76.88,1
0.035696,3.888,0,0.3408,5.2952,56.32,1
0.040472,3.592,0,0.3592,5.1112,38.4,1
0.06612,11.136,0,0.3496,4.9016,14.72,1
0.005056,1.848,0,0.4304,5.26,52.16,1
0.26436,4.96,0,0.4056,4.8688,49.2,1
0.063168,10.264,0,0.3496,5.0184,4.8,1
0.02756,1.624,0,0.332,4.9296,30.72,1
0.070608,8.648,0,0.3304,5.1336,5.28,1
1.074272,15.664,0,0.484,4.8528,80,1
0.4296,4.96,0,0.4032,4.7848,54.48,1
0.271864,4.688,0,0.3448,4.8864,27.92,1
0.183752,8.472,0,0.3912,5.0608,42,1
0.108696,8.472,0.8,0.3912,4.8512,47.28,1
0.11224,4.688,0,0.3448,5.1896,10.4,1
0.09168,5.568,0,0.3712,5.2304,46.96,1
0.131512,4.688,0,0.3448,5.1464,39.28,1
0.0434,3.24,0,0.408,5.052,58.72,2
0.14004,4.768,0,0.3992,4.7728,24.16,2
0.127488,5.528,0,0.3584,4.9688,5.2,2
0.01644,0.592,0,0.328,5.1064,28.56,2
0.029272,3.888,0,0.3408,5.0416,25.76,2
0.171272,4.688,0,0.3448,5.1504,7.12,2
0.034376,4.256,0,0.324,5.252,18.32,2
0.04288,4.512,0,0.3512,5.2088,16.88,2
0.1012,4.104,0,0.3624,0,34.72,2
0.023,12.032,0,0.3712,4.9688,23.12,2
2.3392,15.664,0,0.484,4.8808,74.4,2
0.158416,8.472,0,0.3912,4.9456,33.92,2
0.416464,4.96,0.8,0.4056,5.3048,61.2,2
0.129688,5.568,0,0.3712,4.992,13.04,2
0.1132,5.528,0,0.3584,4.9352,5.28,2
0.152584,4.688,0,0.3448,5.3744,14,2
0.066464,1.968,0,0.3904,4.4832,71.84,2
0.091456,6.848,0,0.416,5.4248,57.04,2
0.101952,5.528,0,0.3584,5.416,2.32,2
0.04588,3.592,0,0.3592,5.304,44.88,2
0.286472,4.96,0.8,0.4056,5.5608,70.8,2
1.018768,15.664,0.8,0.484,5,74.08,2
0.11564,6.296,0,0.4192,4.9376,76.88,2
0.042976,11.136,0,0.3496,5.2392,40.8,2
0.118928,6.848,0,0.416,5.3816,63.92,2
0.498848,4.96,0.8,0.4056,5.5032,62.16,2
0.02892,3.96,0,0.3288,5.304,18.72,2
0.032904,3.888,0,0.3408,5.3816,26.8,2
0.112416,8.472,0,0.3912,5.1,25.84,2
0.097632,2.312,0,0.356,5.3,46.24,2
0.028016,3.96,0,0.3288,5.4888,22.32,2
0.103456,11.136,0,0.3496,5.3424,24.88,2
0.02388,1.744,0,0.3664,5.144,46.96,2
0.042416,2.728,0,0.3912,5.6632,50.48,2
0.056104,11.112,0,0.44,5.3136,68.08,2
0.358328,4.96,0.8,0.4056,5.3808,53.2,2
0.011512,2.344,0,0.3208,5.2832,15.04,2
0.063824,5.128,0,0.3576,5.1856,25.68,2
0.053312,3.24,0,0.408,5.2368,26.48,2
0.048376,1.968,0,0.3904,4.9224,55.04,2
0.065768,4.688,0,0.3448,5.5656,5.44,2
0.100632,2.752,0,0.3496,5.2448,23.28,2
0.053136,3.24,0,0.408,5.488,59.52,2
0.49176,4.96,0,0.4056,5.2944,64.64,2
0.52532,3.176,0,0.5176,5.4736,80,2
0.037328,1.216,0,0.3232,5.6856,29.28,2
0.055288,2.752,0,0.3496,5.3912,24.64,2
0.62856,3.176,0,0.5176,5.6112,67.68,2
0.022104,2.36,0,0.3424,5.276,17.44,2
0.660208,3.176,0,0.5176,5.8616,75.6,2
0.017496,2.344,0,0.3208,5.44,7.92,2
0.353424,4.96,0,0.4032,5.2416,17.12,2
0.409464,4.96,0,0.4056,5.8864,57.28,2
0.011456,1.056,0,0.3288,5.4528,32.4,2
0.329904,4.96,0,0.4032,5.7304,63.92,2
0.370368,4.96,0,0.4032,5.9296,61.52,2
0.063,2.752,0,0.3496,5.4256,32.88,2
0.076832,5.128,0,0.3576,5.4832,34.24,2
0.007248,2.376,0,0.32,5.6704,16.64,2
0.045152,5.128,0.8,0.3576,5.4064,26.32,2
0.080064,1.968,0,0.3904,5.2504,76.48,2
0.014224,1.176,0,0.3224,5.708,11.12,2
0.015608,1.104,0,0.33288,5.6832,47.6,2
0.049016,5.128,0.8,0.3576,5.4608,22.08,2
0.05488,2.312,0,0.356,5.9328,50,2
0.083752,5.128,0.8,0.3576,5.8136,39.2,2
0.032088,1.216,0,0.3232,5.8296,27.28,2
0.025896,1.744,0,0.3664,5.5984,36.64,2
0.432088,3.176,0,0.5176,5.7624,65.44,2
0.030144,1.216,0,0.3232,5.8192,30.64,2
0.021832,5.656,0,0.3752,5.748,48.88,2
0.026872,2.36,0,0.3424,5.6192,12.64,2
0.06696,2.752,0,0.3496,5.748,31.12,2
0.0252,1.176,0,0.3224,5.58,12.24,2
0.168304,2.664,0,0.35432,5.4496,25.76,2
0.177504,5.568,0.8,0.3712,6.1528,41.44,2
0.010488,0.976,0,0.3224,5.7992,17.52,2
0.02964,2.664,0,0.35432,5.5744,29.76,2
0.530808,3.176,0,0.5176,5.8664,80,2
0.05524,1.744,0,0.3664,5.7176,43.36,2
0.055104,1.968,0,0.3904,4.9152,49.76,2
0.069312,2.752,0,0.3496,5.7424,21.04,2
0.440056,3.176,0,0.5176,5.7648,73.28,2
0.072544,2.752,0,0.3496,5.5608,17.2,2
0.04624,1.968,0,0.3904,5.584,46.72,2
0.063088,3.96,0,0.3288,5.7184,22.16,3
0.305712,4.96,0,0.4032,6.432,69.2,3
0.072824,1.968,0,0.3904,5.724,73.76,3
0.096664,2.312,0,0.356,6.4552,60.8,3
0.052704,1.968,0,0.3904,6.212,66.64,3
0.978864,15.664,0,0.484,5.5544,77.92,3
0.460232,4.96,0,0.4056,6.6696,58.64,3
0.017416,1.624,0,0.332,6.088,12.56,3
0.295152,4.688,0,0.3448,6.6072,6.72,3
0.427296,3.176,0,0.5176,6.016,71.52,3
0.4324,3.176,0,0.46,5.976,42.08,3
0.065496,2.312,0,0.356,6.256,29.52,3
0.012304,3,0,0.3152,5.9632,27.36,3
0.252264,4.96,0,0.4032,6.6128,62.64,3
0.028624,2.664,0,0.35432,6.256,51.6,3
0.049032,2.664,0.8,0.35432,6.116,39.76,3
0.238552,4.96,0,0.4032,6.1488,13.6,3
0.265176,4.96,0,0.4056,6.5976,56.32,3
0.02808,2.144,0,0.33288,6.2824,26.56,3
0.416112,3.176,0,0.5176,6.7184,73.2,3
1.170688,15.664,0,0.484,5.9912,72.64,3
1.467016,15.664,0.8,0.484,6.2416,78.56,3
1.215216,15.664,0.8,0.484,6.7,75.12,3
1.608152,15.664,0,0.484,6.3432,76.96,3
0.044816,1.968,0,0.3904,6.2648,42.88,3
0.011048,0.368,0,0.3376,6.3,25.6,3
0.016072,2.144,0,0.33288,6.4272,25.52,3
0.421544,4.96,0,0.4032,6.98,66.4,3
0.489232,3.176,0,0.5176,6.9632,69.52,3
0.462672,3.176,0,0.46,6.6376,53.6,3
0.012008,0.968,0.8,0.3208,6.3384,19.84,3
